sale_id,customer_id,product_id,employee_id,quantity,unit_price,sale_date,store_location
10001,1,101,501,1,1200.50,2024-01-10,Madrid-Centro
10002,2,103,502,2,45.00,15/01/2024,Barcelona
10003,3,102,501,1,250,05-02-2024,Valencia
10004,15,101,501,1,1199.99,2024-02-12,Madrid-Centro
10005,1,105,505,1.5,450.75,2024-02-15,Sevilla
10006,2,104,502,-1,350.00,2024-02-20,Barcelona
10007,6,106,503,1,89.99,2024-03-01,Madrid-Norte
10008,25,107,504,3,25.50,2024-03-05,Bilbao
10009,3,101,502,2,1200.00,2024-03-10,Valencia
10010,7,102,501,1,250.00,2024-03-15,Madrid-Centro
10011,8,108,503,1,189.50,2024-03-20,Madrid-Norte
10012,12,109,502,1,899.00,2024-03-25,Barcelona
10013,5,110,501,2,79.99,2024-04-01,Sevilla
10014,18,111,505,1,320.00,2024-04-05,Valencia
10015,22,112,503,1,425.00,2024-04-10,Madrid-Centro
10016,9,113,502,1,1450.00,2024-04-15,Barcelona
10017,30,114,501,3,180.25,2024-04-20,Madrid-Norte
10018,14,115,504,2,65.75,2024-04-25,Bilbao
10019,27,116,503,5,25.99,2024-05-01,Valencia
10020,33,117,502,1,89.50,2024-05-05,Barcelona
10021,11,118,501,1,120.00,2024-05-10,Madrid-Centro
10022,19,119,505,2,95.75,2024-05-15,Sevilla
10023,40,120,503,1,450.00,2024-05-20,Madrid-Norte
10024,28,121,502,4,180.00,2024-05-25,Barcelona
10025,45,122,501,1,550.00,2024-06-01,Valencia
10026,37,123,504,3,75.25,2024-06-05,Bilbao
10027,23,124,503,1,45.99,2024-06-10,Madrid-Centro
10028,50,125,502,10,15.50,2024-06-15,Barcelona
10029,8,126,501,2,35.75,2024-06-20,Madrid-Norte
10030,16,127,505,1,480.00,2024-06-25,Sevilla
10031,29,128,503,1,280.00,2024-07-01,Valencia
10032,42,129,502,1,199.99,2024-07-05,Barcelona
10033,13,130,501,1,85.00,2024-07-10,Madrid-Centro
10034,35,101,504,1,1200.50,2024-07-15,Bilbao
10035,48,103,503,3,45.00,2024-07-20,Madrid-Norte
10036,21,105,502,2,450.75,2024-07-25,Barcelona
10037,44,107,501,1,299.99,2024-08-01,Valencia
10038,31,109,505,1,899.00,2024-08-05,Sevilla
10039,26,111,503,1,320.00,2024-08-10,Madrid-Centro
10040,39,113,502,1,1450.00,2024-08-15,Barcelona
10041,17,115,501,2,65.75,2024-08-20,Madrid-Norte
